tag,ratings
é˜®ä¸€é¸£,4.0
ç»å…¸,3.0
æš´åŠ›,3.0
æµ‹è¯•,4.0
å¥½äºº,2.5
ä½Žä¿—å°è¯´,2.5
Ø§Ø­Ø³Ø§Ø³Ø§ØªÙŠ,3.0
Özgür Yildirim,3.0
Özer Kiziltan,4.0
Ömer Faruk Sorak,4.0
Î•Î¯Î½Î±Î¹ ÎµÎ¾Î±Î¹ÏÎµÏ„Î¹ÎºÎ¬ Î´Î¹ÎµÏƒÏ„ÏÎ±Î¼Î­Î½Î·,1.0
Éva Gárdos,5.0
Étienne Chatiliez,5.0
Çagatay Tosun,2.5
Çagan Irmak,3.125
Å¡Å†uk,4.0
Åke Sandgren,4.0
Ã‰rase una vez en AmÃ©rica,3.5
Ã“scar Jaenada,5.0
Ã¼bermensch,1.0
Ãvila,3.0
Ãlex de la Iglesia,3.0
Â¡Olivier Martinez!,4.0
Â London,5.0
Álex de la Iglesia,3.5714285714285716
Ágnes Hranitzky,5.0
 religion:Elvis,4.0
 oppl,2.0
 London,2.0
 					character based on real person:The King,1.0
 ,3.5714285714285716
zzzzzzzzzzzzzz...,4.0
zydeco,4.5
zweverig,3.5
zuzu's petals,1.0
zoophilia,5.0
zoom zoom,3.5
zoom,4.0
zooey deschanel's awful singing voice,4.0
zooey deschanel,3.0
zoo,1.5
zombified action,0.5
zombies don't need to breathe,1.5
zombies,3.4919816723940436
zombie vampire hybrid,2.0
zombie plot,2.0
zombie movie with vampires,3.5
zombie film,3.5
zombie,3.3716814159292037
zoltan,0.5
zoeey deschanel,3.8333333333333335
zizek's pick,1.0
zizek,3.75
zither,4.5
zimbabwe,5.0
ziegfeld follies,4.0
zibri studio,3.45
zhun long,3.5
zhang yimou,3.0
zest for life,2.6666666666666665
zero gravity,3.35
zero entertainment value,5.0
zero 7,3.6666666666666665
zeppelin,3.125
zeitgeist-y,2.5
zeitgeist,3.6666666666666665
zeichnungen als übergang,3.5
zegist,3.0
zef,4.0
zebras,3.0
zebra,4.0
zealots,4.0
zany,2.5
yuppies,3.9285714285714284
yukon,4.0
yuen woo-ping,4.0
yuen chor,5.0
yucky,0.5
ytmnd,4.0
yoyoyo,4.0
youtube,3.505952380952381
youth rebellion,5.0
youth gone wild,2.7857142857142856
youth,3.4107142857142856
your shirt look like a curtain,4.0
your ratings,1.0
your out of ur element donnie!!!!,1.5
younger version of character,2.0
younger men,4.0
younger Gandalf,3.25
young target audience,3.6666666666666665
young sexual education,3.0
young romance,4.0
young people,2.0
young parents,3.5
young mother,4.0
young meryl streep,1.0
young love,3.388888888888889
young kids,3.3333333333333335
young kid,5.0
young jim carrey,2.0
young intellectuals,2.25
young heroes,3.0
young girls,1.0
young girl,2.0
young age classic,4.0
young adult,4.5
young Anakin,3.3333333333333335
young,3.5
youkai,3.0
you've seen them all.,0.5
you're tearing me apart lisa,3.3333333333333335
you're gonna die clown,4.0
you'll like the film,3.5
you will love it.,4.5
you will laugh,3.5
you still wake up sometimes don't you? you wake up in the dark and hear the screaming of the lambs,3.0
you might laugh your head out.,3.0
you mean he gets to go back inside the...oh lucky,3.5
you know it,3.0
you complete me,4.0
yokai,3.0
yoga,5.0
yoda,4.0
yingyang,5.0
yeye,4.0
yes-we-can,4.0
yes,3.0
yemen,2.0
yellowface,4.333333333333333
yellow water,4.0
yellow car,4.0
yellow brick road,4.0
yellow,3.75
yeah but damn is she hot,3.5
yeah,4.0
ye haw! Ride em cowboy!!!!,3.0
yayan ruhian,4.0
yay! Jack B. :),4.0
yankee,3.0
yale,3.5
yakuza,3.4571428571428573
yacht,4.5
ya boy,1.5
xenophoby,4.166666666666667
xenophobic?,4.0
xenophobic,3.125
xenophobia,3.3333333333333335
xenomorph,3.25
x-men wanna-be,3.5
x-men III,0.5
x-men,3.375
x-mas movie,0.75
x-from Pej,4.5
x-from Dad,4.5
x-from Bro,3.5
