tag,ratings
zombies,4.25
wrongful imprisonment,4.0
witty!,4.0
witty,2.0
will farell,5.0
who done it,4.0
whimsical,3.75
well done,4.0
weird,4.0
war,4.0
visually appealing,3.75
visceral,3.0
virtual reality,3.0
violent,3.6666666666666665
violence,5.0
villain nonexistent or not needed for good story,5.0
vigilantism,4.5
video game adaptation,4.0
very funny!,4.0
vengeance,4.5
vampires,3.0
vampire,4.0
unusual plot structure,5.0
unique look,5.0
uganda,2.5
twist ending,2.9166666666666665
true story,2.0
travel,3.5
tragedy,3.0
touching,5.0
tosee,3.0
toplist16,3.5
toplist15,3.0789473684210527
toplist14,3.3333333333333335
toplist13,2.9642857142857144
toplist12,3.525
toplist11,2.925
toplist10,2.6666666666666665
toplist09,2.7777777777777777
toplist08,3.210526315789474
toplist07,2.75
toplist06,2.375
toplist05,3.3
too long,5.0
tom hanks,4.5
tobey maguire,4.5
tivo,3.3846153846153846
time-travel,5.0
time travel,4.0
tim robbins,3.5
thriller,4.166666666666667
thought-provoking,4.5
thora birch,4.5
the best comic adaptation!,4.0
that fat nerd is just annoying,4.0
terrible ending,5.0
teleportation,4.0
teenagers,3.0
teen pregnancy,2.0
technology,3.0
tcm,3.375
tarantino,3.0
sword fight,4.0
sweet,4.0
suspense,3.5
survival horror,2.0
surrealism,4.0
surreal,3.5
supernatural powers,5.0
superhero,3.5
super-hero,5.0
sufficiently explodey to be good,5.0
stylized,3.75
stupidity,3.5
stupid,3.5
strong female presence,3.0
strippers,1.0
storyline,3.0
steve martin,4.0
steve carell,4.5
stereotypes,3.5
steampunk,3.0
starwars,4.0
starship pilots,4.0
star,5.0
standard romantic comedy,3.0
stallone,5.0
spock,1.0
"space epic, science fiction, hero's journey",1.0
space adventure,5.0
space,3.25
sort of honest,5.0
social criticism,4.5
social commentary,3.0
snorefest,3.5
slow parts,5.0
slow,5.0
sightsound,3.4285714285714284
siblings,4.0
short,2.0
shakespeare,3.5
sexy food,2.0
sexist,4.5
sex,4.0
series,4.0
serial killer,4.0
sequel,5.0
sentimental,3.0
self discovery,4.0
seen it before,3.0
script,3.0
sci-fi,3.9
sci fi,4.0
school,5.0
scary,2.0
satirical,3.5
satire,4.833333333333333
sandra 'boring' bullock,2.5
sad,5.0
romantic comedy,3.5
romantic,4.5
romance,2.3333333333333335
rock and roll,3.0
robots,5.0
road trip,4.0
ridiculous training sequence,3.0
rich families,5.0
revenge,3.5
renegade art,4.0
renee z,4.0
relativity,5.0
relationships,3.75
redemption,4.0
racism,1.0
r:violence,3.0
r. phoneix,3.0
quirky,3.7222222222222223
psychology,4.25
psychological thriller,4.0
psychological,4.2
privacy,4.0
prison escape,4.0
prison,4.0
pregnancy,2.0
predictable,4.333333333333333
powerpoint,2.0
post-apocalyptic,3.8333333333333335
possession,5.0
porn,2.0
politics,4.0
plot holes,4.0
play enough video games and you can become an NSA agent,5.0
pixar,4.0
pirates,1.5
physics,3.0
photography,5.0
philosophy,4.5
philosophical issues,5.0
philosophical,3.0
parody,3.6666666666666665
paranoid,3.0
overrated,4.428571428571429
original plot,4.333333333333333
organized crime,3.0
on the run,5.0
okay,3.5
off-beat comedy,4.5
ocean,4.0
obvious plot,3.0
notable soundtrack,4.25
notable nudity,5.0
not worth your time,4.0
not too thrilled,3.5
not only for kids,4.5
not by book,3.5
nonlinear,3.5
no desire to see this,3.5
nerdy,5.0
nerds,4.5
nascar,5.0
narrated,3.5
nair,3.5
must see,4.0
musical parodies,4.0
musical,3.25
music,3.125
multiple storylines,4.25
multiple roles,5.0
moore,5.0
moody,4.0
mindfuck,4.0
military,4.5
mike myers,3.5
meryl streep,3.0
memories,3.0
mel gibson,3.0
meg ryan,5.0
meaning of life,3.0
mathematics,3.5
math,3.0
martial arts,4.0
magical realism,3.5
magic,4.0
mad scientist,4.5
lyrical,5.0
low-budget,4.0
love,4.2
long,3.75
liked the other two better,3.0
light,4.0
lake forest,5.0
kung fu,3.25
keanu reeves,4.5
joss whedon,5.0
joseph fiennes,3.5
johnny depp,4.0
john cusack,4.0
jodi foster,4.0
jimmy stewart,4.0
jesus,3.3333333333333335
jedi,4.0
japanese influence,4.0
jakie chan,5.0
jack nicholson,3.0
irreverent,4.5
interesting ideea,3.0
interesting concept - bad execution,5.0
interesting,3.1
intense,3.0
intelligent,3.0
intellectual,3.3333333333333335
inspiring,3.0
insanity,3.0
indie,3.75
independent film,5.0
imaginative,4.125
imagination,4.25
"imaginary world, characters, story, philosophical",1.5
il,3.5
i'd like to live in this movie,5.0
humor,4.0
hugh jackman,5.0
hugh grant,3.5
horror,2.6666666666666665
honest,3.0
holes90s,3.0
holes80s,3.4642857142857144
holes70s,3.625
holes60s,3.1875
holes40s,3.5384615384615383
holes00s,2.5625
hit men,4.0
historical,1.75
hillarious,4.0
hilarious,3.5
hijacking,3.0
high school,4.0
heartwarming,3.0
hdtv,3.857142857142857
happy ending,3.75
happiness,3.0
hallucinatory,3.0
guy ritchie,3.0
guy movie,5.0
group psychology,2.0
gritty,5.0
greed,4.0
great soundtrack,4.0
great dialogue,4.0
gratuitous violence,5.0
graphic design,4.5
good science,3.0
good but not accurate,3.0
good animation,4.0
girlie movie,4.0
getdvd,3.1818181818181817
genuine characters,5.0
genius,1.5
gay,3.0
funny,4.0625
friendship,3.25
friends,3.0
freedom,3.0
franchise,4.0
found footage,2.0
forgettable,4.0
football,3.5
food,4.0
femme-fatale,3.0
feminist,3.0
feel-good,4.166666666666667
feel good,3.5
fashion,3.5
fantasy world,3.5
fantasy,5.0
family,3.375
fairytale,3.0
fairy tales,5.0
fairy tale,4.0
explosions,4.4
experiment,5.0
existentialism,4.0
europe,3.0
ethan hawke,2.0
ensemble cast,5.0
ending,5.0
emotional,3.0
elegant,3.0
ei muista,5.0
eerie,5.0
edward norton,4.0
eastern europe,5.0
easily confused with other movie(s) (title),2.0
dystopia,4.5
dvd,3.0416666666666665
dumb,5.0
dull story,2.0
drama,3.5
documentary,3.3333333333333335
disturbing,4.5
disappointing,3.0
directorial debut,3.0
diluted version of comic,5.0
didn't get it,3.5
devotion,3.5
determination,1.0
desert,4.0
depressing,2.0
denzel washington,0.5
dentist,3.0
demons,4.0
dark humor,3.5
dark comedy,3.5714285714285716
dark,4.25
dance,4.0
cute,4.5
cursing,4.0
cult film,3.3
cult classic,4.0
crude humor,5.0
crude,3.5
critically acclaimed,2.5
crime,4.0
creepy good,4.0
creative,3.75
covers a lifespan,4.5
cool and great music,5.0
cool,4.0
cooking,2.0
controversial,4.5
complicated,3.0
coming of age,3.25
comedy of manners,3.0
comedy,3.8461538461538463
comedt,5.0
collin farrel,3.5
colin firth,5.0
coen brothers,4.0
cocaine,1.5
clever,4.0
claymation,5.0
claustrophobic,4.0
classic sci-fi,4.0
classic,3.5
claire daines,3.0
cinematography,4.0
christmas,5.0
children,5.0
childish plot,3.0
cheezy to the max!,5.0
cheerleading,4.0
character development,4.5
can't stand rogue!,5.0
campy,4.5
but still a fun movie.,3.0
brother sister relationship,4.0
british,2.5
breathtaking,5.0
boring,4.333333333333333
bookshop,4.0
books,4.0
bollywood,4.0
black comedy,4.5
bkk,3.5
billy bob thorton,3.0
big brother,5.0
biblical,4.0
beer,5.0
beauty pageant,2.0
beautifully filmed,4.0
beautiful scenery,3.0
based on a true story,4.0
based on a book,2.0
based on a TV show,3.5
baseball,3.0
bad plot,5.0
bad camerawork,4.0
bad acting,4.0
b movie,5.0
awkward,3.5
awesome soundtrack,5.0
awesome,5.0
aviation,4.5
author:Neil Gaiman,5.0
atmospheric,4.0
assassin,3.5
artificial intelligence,4.0
apocalypse,3.0
anti-hero,4.0
anime,3.9
animation style,5.0
animation,4.166666666666667
american idiocy,4.5
amazing storytelling,4.0
alternate universe,3.0
alternate reality,4.25
aliens,3.5
alex pettyfer,2.5
akira kurosawa,5.0
aging,3.0
afi,2.9444444444444446
adventure,3.5
addiction,4.0
adapted from:book,1.0
adam sandler,4.0
activist,3.5
action,3.2
Zooey Deschanel,1.0
World War II,4.5
Why the terrorists hate us,3.0
Vin Diesel,4.0
Viggo Mortensen,4.0
Views,3.0
Vampire Human Love,4.0
Udo Kier,1.0
Try not to mistake this for an episode of Alias,4.0
Trilogy of the Imagination,3.6666666666666665
Too slow,5.0
Tom Hanks,4.0
Tom Cruise,3.0
Tim Robbins,4.0
Tied,4.0
"The Rocks ""finest"" work need I say more?",5.0
Teen movie,2.5
Takashi Miike,3.75
Syfy,1.0
Submission,2.0
Studio Ghibli,4.166666666666667
Streep strong & funny,5.0
Steve Martin,3.25
Steve Buscemi,3.5
Stephen Chow,1.0
Star Wars,2.5
Star Trek,2.0
Stanley Kubrick,2.0
Spanked,3.0
Sienna Guillory,3.0
Science Fiction,3.125
Satoshi Kon,3.0
Sandra Bullock,4.0
Russian,2.0
Rosanna Arquette,3.5
Ron Howard,1.0
Romance,3.75
Roman Polanski,4.0
Rock,3.0
Robert Pattinson,3.0
Ralph Fiennes,4.5
R:strong sexual content,2.0
Quirky,4.0
Quentin Tarantino,4.0
Psychological Thriller,5.0
Predictable,1.0
Post apocalyptic,4.0
Pixar,4.0
Phenomenal!,4.0
Paris,5.0
Overrated,5.0
Orlando Bloom,4.0
Oded Fehr,3.0
Nudity (Topless),3.642857142857143
Nudity (Topless - Notable),4.0
Nudity (Rear),3.0
Nudity (Full Frontal),2.5
Nudity (Full Frontal - Notable),3.0
No progress,5.0
Nicolas Cage,3.5
New York City,1.0
New York,4.0
Neil Patrick Harris,4.25
Neil Gaiman,5.0
National Film Registry,3.5
Nathan Fillion,4.0
Mossad,5.0
Morgan Freeman,4.5
Monty Python,4.0
Mindfuck,3.0
Micheal Keaton,4.5
Michael Mann,2.0
Mel Gibson,4.5
Meg Ryan,4.0
Matthew Perry,3.0
Marx Brothers,4.0
Martin Scorsese,5.0
Mark Wahlberg,5.0
Long,5.0
Leonardo DiCaprio,4.0
Lame everything,4.0
Krzysztof Kieslowski,4.0
Kristen Stewart,3.0
Kevin Costner,4.0
Keira Knightley,4.75
Katso Sanna!,4.25
Just stupid,3.0
Julie Andrews,4.0
Jude Law,2.0
Johnny Depp***,3.5
Johnny Depp,4.0
John Cleese,3.0
Jim carrey,1.0
Jeff Bridges,3.5
Jason Patric,5.0
Jack Black,3.0
Irene Jacob,3.5
Intrigued,4.0
India,3.5
Iceland,3.0
I loved it! Seen it five times already!,4.5
Hugh Jackman,4.0
Helen Hunt,4.0
Hayao Miyazaki,5.0
Harrison Ford,4.0
Gwyneth Paltrow,4.0
Gwenth Paltrow,3.0
Guy Ritchie,3.3333333333333335
Guillermo del Toro,3.5
Gore!!!,3.0
Gilliam,3.3333333333333335
George Lucas,2.75
Gag,1.0
Funny,5.0
Firefly,3.0
Fetish,2.0
Fernando E. Solanas,3.0
Exellent first half,4.0
Emilio Estevez,5.0
Eliza Dushku,4.0
Ei muista,4.275862068965517
Drugs,3.0
Domination,4.0
Disney studios,3.0
Disney,4.5
Dieselpunk,2.5
Dave Foley,3.0
Dakota Fanning,4.0
Coming of Age,3.0
Cole Hauser,4.0
Christopher Nolan,3.0
Captain Hammer,4.0
Cambodia,3.0
CHRISTIAN,3.0
British,5.0
Brad Pitt,2.9
Bondage,2.0
Blindfold,1.0
Billy Bob Thornton,4.5
Bill Murray,2.8333333333333335
Benicio Del Toro,4.0
Beautiful Woman,3.5
Batman,3.5
BDSM,4.0
As historicaly correct as Germany winning WW2,5.0
Ang Lee,4.5
Amanda Peet,3.0
Alfred Hitchcock,5.0
Alex van Warmerdam,3.0
Aging Disorder,4.0
Aging,2.0
Adam Sandler,3.0
Abigail Breslin,5.0
80's classic,3.0
1940's feel,4.0
